Date,ABBV,ABT,ADM,ADP,AFL,ALB,AMCR,AOS,APD,ATO,BDX,BEN,BF-B,BRO,CAH,CAT,CB,CHD,CHRW,CINF,CL,CLX,CTAS,CVX,DOV,ECL,ED,EMR,ESS,EXPD,FRT,GD,GPC,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LEG,LIN,LOW,MCD,MDT,MKC,MMM,NDSN,NEE,NUE,O,PEP,PG,PNR,PPG,ROP,SHW,SJM,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2014-02-03,31.093278884887695,29.43492317199707,29.425973892211914,51.92424774169922,23.695533752441406,53.8522834777832,6.095217227935791,19.413999557495117,75.01189422607422,36.220298767089844,88.36296844482422,33.21337890625,25.934648513793945,13.812066078186035,49.01680374145508,69.9285659790039,74.87602233886719,26.84986114501953,45.05729293823242,35.12726974487305,47.37259292602539,65.17909240722656,49.202903747558594,72.25591278076172,45.78238296508789,87.47152709960938,36.53755187988281,47.93500900268555,113.98545837402344,35.346649169921875,74.52359771728516,78.55567932128906,58.32545852661133,191.27537536621094,17.546144485473633,107.65422821044922,60.6553955078125,65.60377502441406,72.24442291259766,26.867708206176758,19.37415313720703,99.68766021728516,37.97461700439453,71.01360321044922,43.23257064819336,26.18869972229004,68.67411804199219,61.1609001159668,17.47968101501465,35.82735824584961,24.167186737060547,58.485557556152344,56.48356628417969,39.951988220214844,74.87297821044922,124.05343627929688,53.43656921386719,70.8762435913086,66.6760482788086,60.082420349121094,26.33005142211914,41.39023208618164,53.346065521240234,19.509260177612305,44.050048828125,58.031166076660156
2014-02-04,31.48729133605957,29.763349533081055,28.911718368530273,52.5340461730957,23.98822593688965,53.8349609375,6.095217227935791,19.546049118041992,75.17817687988281,36.29008483886719,88.87435150146484,33.62357711791992,26.173433303833008,12.731593132019043,48.86773681640625,69.98912048339844,75.07009887695312,27.58103370666504,45.76752853393555,34.861656188964844,47.514305114746094,64.76399993896484,49.46828079223633,72.05435943603516,46.14661407470703,88.06940460205078,36.435569763183594,47.79326248168945,116.03816986083984,35.56597137451172,76.12321472167969,79.52099609375,58.513023376464844,192.94375610351562,17.416954040527344,107.61691284179688,61.16887283325195,65.48284149169922,72.29234313964844,27.06993865966797,19.62749671936035,100.40142059326172,37.39166259765625,71.06706237792969,42.35543441772461,26.392288208007812,70.23717498779297,62.420448303222656,17.272727966308594,35.950313568115234,24.288869857788086,58.67167663574219,56.77458190917969,41.22475051879883,75.02963256835938,124.23228454589844,53.75981903076172,70.71024322509766,69.03331756591797,60.455745697021484,26.391088485717773,41.173622131347656,54.76310729980469,19.52805519104004,43.6601448059082,58.01182556152344
2014-02-05,31.34282112121582,29.845460891723633,29.236909866333008,51.538726806640625,24.101394653320312,54.077266693115234,6.055978298187256,19.72125244140625,75.38060760498047,35.8868522644043,89.9139175415039,33.45817184448242,25.87326431274414,12.97019100189209,48.726112365722656,69.58053588867188,75.40162658691406,27.278179168701172,41.490478515625,34.7509765625,47.569427490234375,63.820560455322266,49.87521743774414,71.20268249511719,45.683040618896484,88.4798355102539,36.29959487915039,47.5694465637207,117.31936645507812,35.44316101074219,77.4352035522461,78.88275909423828,58.565528869628906,192.5934295654297,17.400798797607422,108.48858642578125,61.29528045654297,65.98176574707031,72.31973266601562,27.163829803466797,19.567493438720703,100.67214965820312,37.91630554199219,71.44114685058594,43.24836730957031,26.359046936035156,70.59188842773438,61.17885971069336,17.123273849487305,36.26540756225586,24.44098663330078,59.1182975769043,57.04319763183594,41.760643005371094,75.02115631103516,124.16638946533203,53.04987335205078,70.03868865966797,68.92575073242188,60.090354919433594,26.520795822143555,41.13625717163086,54.14271926879883,19.565645217895508,43.59357452392578,57.728271484375
2014-02-06,31.474159240722656,30.091768264770508,29.577213287353516,52.008365631103516,24.089683532714844,54.41475296020508,6.055978298187256,19.601591110229492,77.5351791381836,36.50722122192383,89.84685516357422,33.888221740722656,26.316699981689453,12.736091613769531,49.396949768066406,70.99544525146484,75.59568786621094,27.40365219116211,40.95975875854492,33.356502532958984,47.71113586425781,64.19793701171875,49.954837799072266,72.34040832519531,45.60578918457031,89.13119506835938,36.57834243774414,47.703731536865234,119.08819580078125,35.197505950927734,78.36832427978516,80.74952697753906,60.463436126708984,195.95211791992188,17.521926879882812,109.35252380371094,61.71397018432617,67.09304809570312,72.8333740234375,27.467180252075195,19.954177856445312,101.9601821899414,38.79072952270508,72.47937774658203,43.264163970947266,26.205312728881836,71.44547271728516,61.49375534057617,17.203739166259766,37.13380432128906,24.489669799804688,59.09595489501953,57.37896728515625,41.83319854736328,75.74075317382812,124.96647644042969,54.13443374633789,70.61968994140625,69.3290786743164,60.7337532043457,26.917539596557617,41.72638702392578,54.579795837402344,19.552223205566406,43.98348617553711,58.27991485595703
2014-02-07,32.104557037353516,30.526941299438477,30.167102813720703,52.49198913574219,24.460418701171875,54.93397521972656,6.167158126831055,19.981914520263672,78.97396850585938,36.592506408691406,92.32002258300781,34.503543853759766,26.80449104309082,13.136770248413086,50.34360122680664,71.78236389160156,76.49321746826172,27.667560577392578,40.88951110839844,33.74016571044922,47.91584014892578,64.62814331054688,51.42331314086914,72.84752655029297,47.151004791259766,89.34538269042969,36.72792434692383,48.63633728027344,120.39115142822266,35.6712532043457,79.0137939453125,83.11888885498047,61.206119537353516,195.9939727783203,17.671297073364258,110.96774291992188,62.946372985839844,68.06829833984375,73.21004486083984,27.40940284729004,20.240861892700195,104.2409439086914,38.36601638793945,73.22754669189453,43.92794418334961,26.192853927612305,72.23806762695312,62.19550323486328,17.362794876098633,37.233707427978516,24.678281784057617,59.71378707885742,57.68487548828125,42.63148498535156,77.27320098876953,126.03005981445312,55.15253829956055,70.45369720458984,71.67742156982422,62.59247589111328,27.09302520751953,42.07746124267578,55.93336486816406,19.801921844482422,44.74427032470703,58.786170959472656
2014-02-10,32.53794860839844,30.510513305664062,30.33347511291504,52.18357467651367,24.362855911254883,55.13301467895508,6.226016521453857,19.952001571655273,79.39332580566406,36.76311111450195,93.00749206542969,34.9666748046875,26.790842056274414,13.172785758972168,49.687660217285156,71.50238800048828,76.8409194946289,27.987712860107422,41.31098175048828,33.77705383300781,48.435462951660156,64.99797058105469,51.02523422241211,72.61346435546875,46.604644775390625,89.78258514404297,36.94116973876953,48.48711013793945,121.4102554321289,35.899349212646484,79.2803955078125,81.77864074707031,61.423667907714844,196.23687744140625,17.63092803955078,110.89887237548828,62.251155853271484,68.84693145751953,73.69629669189453,27.857192993164062,20.214187622070312,104.74958801269531,38.40763854980469,72.4183120727539,44.101802825927734,26.558481216430664,71.88890075683594,62.35745620727539,17.502670288085938,37.04926300048828,24.939903259277344,59.99665451049805,58.222110748291016,42.73194885253906,77.86164093017578,125.18292236328125,55.0890998840332,70.70270538330078,71.11275482177734,62.719573974609375,27.001466751098633,42.21190643310547,56.01091766357422,19.804615020751953,45.162715911865234,58.098209381103516
2014-02-11,32.61019515991211,31.15915298461914,30.651111602783203,52.33078384399414,24.355056762695312,55.47052001953125,6.226016521453857,20.23403549194336,80.93331909179688,35.2587776184082,94.7260971069336,34.940189361572266,27.094430923461914,13.32585334777832,51.84927749633789,71.8504638671875,78.28022766113281,28.10885238647461,42.04462814331055,34.17547607421875,49.1283073425293,65.53385162353516,51.39677810668945,73.84223175048828,46.77573776245117,90.48749542236328,37.44335174560547,48.457271575927734,121.80340576171875,36.49592208862305,79.46280670166016,82.34506225585938,62.151309967041016,199.22706604003906,17.92160987854004,112.5015869140625,62.22748565673828,70.28330993652344,74.3674545288086,27.907752990722656,20.340864181518555,105.36489868164062,38.94061279296875,72.78475952148438,44.62334060668945,26.836870193481445,72.598388671875,63.18519973754883,17.62531280517578,37.57953643798828,24.95815658569336,60.48051452636719,58.826473236083984,43.15620803833008,78.38233947753906,125.7663803100586,55.41234588623047,70.9516830444336,72.07181549072266,63.55360412597656,27.22273063659668,42.68251419067383,56.525543212890625,20.08384895324707,45.50507736206055,58.95491027832031
2014-02-12,33.201202392578125,31.413679122924805,30.741859436035156,52.97563171386719,24.63377571105957,55.790714263916016,6.4352946281433105,20.53316879272461,80.8826904296875,34.95635223388672,94.99436950683594,35.165164947509766,27.271814346313477,13.271827697753906,51.782196044921875,72.76598358154297,77.3907699584961,27.879554748535156,41.982200622558594,34.315673828125,48.7503776550293,65.31493377685547,51.741783142089844,73.48149108886719,47.11787414550781,90.24655151367188,37.1544303894043,48.900394439697266,121.33015441894531,36.504703521728516,77.93333435058594,82.69608306884766,62.878997802734375,199.38624572753906,17.88931655883789,112.83966827392578,62.2432746887207,69.86750030517578,73.93598937988281,27.81385040283203,20.360864639282227,105.07775115966797,38.874000549316406,72.44119262695312,44.59172821044922,26.712228775024414,72.86795043945312,63.74300765991211,17.667465209960938,38.60163116455078,25.061586380004883,60.65913772583008,57.81916809082031,43.35715103149414,78.63629913330078,127.00889587402344,56.44254684448242,71.14910888671875,73.08463287353516,64.03816223144531,26.970947265625,42.54059600830078,56.89918518066406,20.126815795898438,45.27682876586914,59.110633850097656
2014-02-13,33.06329345703125,31.7913761138916,30.75698471069336,53.41719055175781,24.649478912353516,56.084938049316406,6.4352946281433105,20.618635177612305,84.5411376953125,35.561187744140625,95.8578872680664,35.15192413330078,27.4901180267334,13.29433822631836,52.11762237548828,72.72057342529297,77.73847961425781,27.988231658935547,42.16951370239258,34.618167877197266,49.057456970214844,65.63191223144531,52.060245513916016,73.79630279541016,47.07374954223633,91.2816162109375,37.505271911621094,48.47228240966797,121.25740051269531,36.64506149291992,77.70880126953125,82.75189208984375,63.49412536621094,200.71788024902344,18.079071044921875,113.84130096435547,61.761375427246094,69.97332000732422,74.47702026367188,27.91497230529785,20.540868759155273,106.16891479492188,38.84069061279297,72.8763656616211,44.7260627746582,26.998918533325195,72.70036315917969,63.590030670166016,17.79201889038086,38.84755325317383,25.238035202026367,59.31929397583008,58.05049133300781,43.50230026245117,79.25859832763672,128.4678192138672,57.527099609375,72.23482513427734,73.416259765625,64.01428985595703,27.17694664001465,42.47334671020508,56.83576965332031,20.234214782714844,46.11370849609375,59.337806701660156
2014-02-14,33.312828063964844,31.865259170532227,30.84016990661621,53.459251403808594,24.782955169677734,56.47434616088867,6.4352946281433105,20.61008644104004,84.8664779663086,35.3052978515625,95.908203125,34.940189361572266,27.612930297851562,13.32585334777832,52.378509521484375,73.05350494384766,78.40960693359375,28.38819694519043,42.64560317993164,34.67719268798828,49.34874725341797,66.4999008178711,52.3521728515625,74.43255615234375,47.49314880371094,92.0400619506836,37.94553756713867,48.44976043701172,120.9735107421875,36.72401809692383,78.17889404296875,84.84205627441406,64.47683715820312,205.7685546875,18.232486724853516,114.9995346069336,62.085289001464844,70.12454986572266,75.4974136352539,28.117202758789062,20.72754669189453,106.49706268310547,39.373680114746094,73.12065124511719,44.94732666015625,27.2149658203125,73.80643463134766,63.392120361328125,17.872501373291016,39.44698715209961,25.384077072143555,58.12826919555664,59.24433898925781,43.75349426269531,79.96553039550781,128.82546997070312,57.75366973876953,69.70652770996094,73.07566833496094,64.59416961669922,27.245624542236328,42.19486618041992,56.983802795410156,20.349666595458984,45.75232696533203,61.07710266113281
