Date,Stock Splits
1980-10-27,105:100
1981-03-23,3:2
1981-08-17,105:100
1982-08-17,105:100
1983-08-16,105:100
1984-08-14,105:100
1985-08-13,105:100
1986-06-03,3:2
1986-08-12,105:100
1987-08-11,105:100
1988-08-16,105:100
1989-08-22,105:100
1989-12-05,3:2
1990-08-14,105:100
1991-08-13,105:100
1992-08-11,105:100
1993-08-17,105:100
1994-08-16,105:100
1994-12-06,3:2
1995-08-17,105:100
1996-08-15,105:100
1997-08-14,105:100
1998-08-20,105:100
1999-08-19,105:100
2000-08-24,105:100
2001-08-30,105:100
