Date,Stock Splits
1984-04-13,5:4
1985-04-02,2:1
1986-01-23,2:1
1986-10-27,3:2
1987-07-15,5:4
1990-01-16,3:2
1992-04-15,2:1
1997-01-15,3:2
1998-01-16,2:1
2013-07-26,3:1
